measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
standardDeviation,111101_S5_6P3M,1320178711,13,0,0,null,7048,354,2,4,0,0,6,0,0,142,0,0,0,0,8834,28077,0,0,165,0,0,0,5227,0,2462,0,942,0,0,142,9,5237,0,0,330,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,90,
median,111101_S5_6P3M,1320178711,221,0,0,null,211117,189187,8431,5410,0,7,1320153475,0,0,1109,0,0,294,0,117679,213048,0,-1,2015,0,0,13489,148981,0,59949,-1,2000,0,0,1109,1195,131879,1,"1.12",422,9,14,10,0,4,0,1,100,77,100,100,35,100,90,100,99,-1,0,0,410,
average,111015_Q9_53DS,1318678443,271.5,0,0,1,205080,185384.5,8593,5983,0,7,1318653195,0,0,1052.5,0,0,291,0,135919,237523.5,0,-1,1786.5,0,0,6769.5,139241.5,0,62891.5,-1,850,0,0,1052.5,1144,121088,1,1.9,430.5,10,14.5,12,0,2.5,0,2,100,81.5,100,100,29,100,94.5,100,99,-1,0,0,389,
standardDeviation,111015_Q9_53DS,1318678443,44,0,0,null,181,1,381,0,0,0,33,0,0,24,0,0,0,0,8732,6080,0,0,51,0,0,5334,3242,0,2611,0,850,0,0,24,0,3244,0,0,18,0,0,1,0,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,49,
median,111015_Q9_53DS,1318678443,227,0,0,null,204899,185386,8974,5983,0,7,1318653228,0,0,1028,0,0,291,0,127187,231443,0,-1,1838,0,0,1435,135999,0,65503,-1,1700,0,0,1028,1144,117844,1,"1.9",412,10,15,13,0,2,0,3,100,83,100,100,26,100,98,100,99,-1,0,0,340,
average,111001_JS_4FW0,1317467586,229.33333333333,0,0,1,212530,190716.33333333,9260.6666666667,6246.3333333333,0,7,1317442317,0,0,938.33333333333,0,0,290.66666666667,0,126863.33333333,271142.66666667,0,-1,1908.3333333333,0,0,0,144582.33333333,0,64666.666666667,-1,566.66666666667,0,0,938.33333333333,1213,126624,1,1.9,356.33333333333,10.333333333333,15.333333333333,13,0,2.3333333333333,0,2,100,83,100,100,26.666666666667,100,100,100,99,-1,0,0,348,
standardDeviation,111001_JS_4FW0,1317467586,4,0,0,null,1366,194,320,281,0,0,8,0,0,56,0,0,0,0,6313,25055,0,0,72,0,0,0,32,0,1260,0,801,0,0,56,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
median,111001_JS_4FW0,1317467586,227,0,0,null,213484,190577,9034,6047,0,7,1317442307,0,0,977,0,0,290,0,129698,254102,0,-1,1873,0,0,0,144558,0,65558,-1,1700,0,0,977,1213,126624,1,"1.9",349,10,15,13,0,2,0,1,100,83,100,100,26,100,100,100,99,-1,0,0,341,
average,110915_TB_3W9S,1316114526,229.33333333333,0,0,1,205688,182769,9100,6056,0,7,1316089305,0,0,941.66666666667,0,0,278,0,126399.66666667,261177.33333333,0,-1,1868.3333333333,0,0,0,141772,0,60549,-1,566.66666666667,0,0,941.66666666667,1131,124267,1,1.9,330.66666666667,10,15,13,0,2,0,2,100,82.333333333333,100,100,27.333333333333,100,100,100,99,-1,0,0,323.66666666667,
standardDeviation,110915_TB_3W9S,1316114526,26,0,0,null,32,2,13,0,0,0,9,0,0,115,0,0,0,0,10477,35161,0,0,166,0,0,0,32,0,0,0,801,0,0,115,0,33,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,
median,110915_TB_3W9S,1316114526,208,0,0,null,205642,182771,9098,6056,0,7,1316089293,0,0,926,0,0,278,0,129742,254555,0,-1,1793,0,0,0,141726,0,60549,-1,1700,0,0,926,1131,124219,1,"1.9",303,10,15,13,0,2,0,1,100,81,100,100,30,100,100,100,99,-1,0,0,295,
average,110901_0G_3AFV,1314875259,273.33333333333,0,0,3,189472,172607.33333333,8192.3333333333,6037,0,6.3333333333333,1314850036.3333,0,0,1221.6666666667,0,0,285,0,110311,196694.66666667,0,-1,2021.3333333333,0,0,0,127659,0,58808,-1,766.66666666667,0,0,1221.6666666667,0,110080,1,1.9,888,10,13.666666666667,12.333333333333,0,1.3333333333333,0,2,100,79.666666666667,100,100,30.333333333333,100,100,100,100,-1,0,0,785.66666666667,
standardDeviation,110901_0G_3AFV,1314875259,103,0,0,null,7523,6,1242,0,0,0,11,0,0,258,0,0,0,0,16793,52609,0,0,249,0,0,0,4700,0,2462,0,1084,0,0,258,0,4701,0,0,351,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,255,
median,110901_0G_3AFV,1314875259,419,0,0,null,194692,172614,9098,6037,0,7,1314850050,0,0,1293,0,0,285,0,105238,197498,0,-1,2269,0,0,0,130991,0,60549,-1,2300,0,0,1293,0,113406,1,"1.9",882,10,15,13,0,2,0,3,100,81,100,100,30,100,100,100,100,-1,0,0,866,
average,110816_7Z_2RWH,1313463464,227.66666666667,0,0,3,175306,152912.66666667,9260,6225,0,7,1313438203.6667,0,0,891.33333333333,0,0,275.66666666667,0,127778,233049,0,-1,1600,0,0,0,111332.66666667,0,60549,-1,500,0,0,891.33333333333,0,93474.333333333,1,1.9,358,10.333333333333,15.333333333333,13,0,2.3333333333333,0,2,100,81.666666666667,100,100,29,100,100,100,100,-1,0,0,342.66666666667,
standardDeviation,110816_7Z_2RWH,1313463464,1,0,0,null,388,167,311,280,0,0,8,0,0,74,0,0,0,0,2017,24005,0,0,24,0,0,0,435,0,0,0,707,0,0,74,0,456,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,
median,110816_7Z_2RWH,1313463464,228,0,0,null,175021,153125,9700,6621,0,7,1313438214,0,0,842,0,0,277,0,130418,249389,0,-1,1570,0,0,0,110935,0,60549,-1,1500,0,0,842,0,93036,1,"1.9",353,11,16,13,0,3,0,3,100,81,100,100,31,100,100,100,100,-1,0,0,346,
average,110801_NW_19YP,1312198578,210,0,0,3,170614,148749,9019.3333333333,6013,0,6.6666666666667,1312173353,0,0,1169.6666666667,0,0,274,0,91823,162295.33333333,0,-1,2073,0,0,0,107964,0,59294,-1,666.66666666667,0,0,1169.6666666667,0,90391,1,1.9,587.66666666667,10,15,13,0,2,0,2,100,83,100,100,26,100,100,100,100,-1,0,0,563,
standardDeviation,110801_NW_19YP,1312198578,14,0,0,null,5,5,10,0,0,0,11,0,0,186,0,0,0,0,4802,36742,0,0,85,0,0,0,5,0,0,0,942,0,0,186,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,
median,110801_NW_19YP,1312198578,190,0,0,null,170607,148742,9007,6013,0,6,1312173367,0,0,1230,0,0,274,0,87445,143021,0,-1,2141,0,0,0,107957,0,59294,-1,2000,0,0,1230,0,90391,1,"1.9",738,10,15,13,0,2,0,3,100,83,100,100,26,100,100,100,100,-1,0,0,640,
average,110715_MW_RBC,1310748643,205.66666666667,0,0,3,173926.33333333,151857.33333333,8399,6025,0,7,1310723425,0,0,782.66666666667,0,0,276,0,136788.33333333,266401.66666667,0,-1,1479,0,0,0,107492.33333333,0,63423,-1,233.33333333333,0,0,782.66666666667,0,89038,1,1.9,349,10,14,13,0,1,0,2,100,83,100,100,25,100,100,100,100,-1,0,0,0,
standardDeviation,110715_MW_RBC,1310748643,1,0,0,null,3,3,9,0,0,0,8,0,0,62,0,0,0,0,5173,30403,0,0,50,0,0,0,3,0,0,0,329,0,0,62,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110715_MW_RBC,1310748643,205,0,0,null,173931,151862,8412,6025,0,7,1310723436,0,0,818,0,0,276,0,137603,247735,0,-1,1469,0,0,0,107497,0,63423,-1,700,0,0,818,0,89038,1,"1.9",345,10,14,13,0,1,0,3,100,83,100,100,25,100,100,100,100,-1,0,0,0,
average,110701_QK_6R2,1309540078,250,0,0,2,175596,154638,8665,6033,0,7,1309514867.6667,0,0,901.33333333333,0,0,282,0,109729.33333333,242319,0,-1,1856.6666666667,0,0,0,109047,0,63423,-1,300,0,0,901.33333333333,0,91051,1,1.9,411,10,14.333333333333,13,0,1.3333333333333,0,2,100,100,100,100,25.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,110701_QK_6R2,1309540078,22,0,0,null,163,0,345,0,0,0,6,0,0,109,0,0,0,0,6825,32784,0,0,116,0,0,0,0,0,0,0,424,0,0,109,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110701_QK_6R2,1309540078,269,0,0,null,175481,154638,8421,6033,0,7,1309514868,0,0,855,0,0,282,0,113067,263887,0,-1,1821,0,0,0,109047,0,63423,-1,900,0,0,855,0,91051,1,"1.9",388,10,14,13,0,1,0,2,100,100,100,100,25,100,100,100,100,-1,0,0,0,
average,110615_HR_4PAR,1308135116,235.33333333333,0,0,2,196154.33333333,176053.33333333,7938,5658,0,7,1308138698.3333,0,0,1150.3333333333,0,0,287,0,126440.33333333,192410.66666667,0,-1,1788,0,0,0,104643.33333333,0,88499,-1,700,0,0,1150.3333333333,0,88848,1,1.9,554.33333333333,10,14,13,0,1,0,2,100,100,100,100,25,100,100,100,100,-1,0,0,0,
standardDeviation,110615_HR_4PAR,1308135116,25,0,0,null,2,2,11,0,0,0,8,0,0,27,0,0,0,0,3689,785,0,0,21,0,0,0,2,0,0,0,989,0,0,27,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110615_HR_4PAR,1308135116,241,0,0,null,196155,176054,7946,5658,0,7,1308138698,0,0,1161,0,0,287,0,125901,191363,0,-1,1799,0,0,0,104644,0,88499,-1,2100,0,0,1161,0,88848,1,"1.9",562,10,14,13,0,1,0,2,100,100,100,100,25,100,100,100,100,-1,0,0,0,
average,110601_Z9_44Q9,1306952713,204.66666666667,0,0,2,177633.33333333,157724,5082,2746,0,4,1306956299,0,0,956,0,0,257,0,116238,211959.66666667,0,-1,1735.3333333333,0,0,0,99214.333333333,0,76958,-1,500,0,0,956,0,84507.333333333,1,1.9,464.66666666667,5,9,8,0,1,0,2,100,100,100,100,40,100,100,100,100,-1,0,0,0,
standardDeviation,110601_Z9_44Q9,1306952713,0,0,0,null,149,6,19,0,0,0,7,0,0,71,0,0,0,0,4694,21408,0,0,61,0,0,0,149,0,0,0,707,0,0,71,0,156,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
median,110601_Z9_44Q9,1306952713,205,0,0,null,177562,157725,5082,2746,0,4,1306956299,0,0,990,0,0,257,0,121951,200923,0,-1,1661,0,0,0,99143,0,76958,-1,1500,0,0,990,0,84435,1,"1.9",433,5,9,8,0,1,0,2,100,100,100,100,38,100,100,100,100,-1,0,0,0,
average,110516_YQ_3K3Z,1305576555,213.66666666667,0,0,2,181998.66666667,164743.33333333,7195.6666666667,4970.3333333333,0,6.6666666666667,1305580139.3333,0,0,1016,0,0,256.33333333333,0,119218,205412.33333333,0,-1,1739.3333333333,0,0,0,95405,0,83995.333333333,-1,533.33333333333,0,0,1016,0,81766.333333333,1,1.9,490.33333333333,8.6666666666667,12.333333333333,11.333333333333,0,1,0,2,100,100,100,100,23.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,110516_YQ_3K3Z,1305576555,5,0,0,null,9278,5818,337,163,0,0,7,0,0,38,0,0,30,0,2311,2108,0,0,53,0,0,0,5640,0,3491,0,754,0,0,38,0,3460,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
median,110516_YQ_3K3Z,1305576555,221,0,0,null,188559,168857,7434,5086,0,7,1305580139,0,0,1042,0,0,278,0,120408,205672,0,-1,1787,0,0,0,99393,0,86464,-1,1600,0,0,1042,0,84213,1,"1.9",498,9,13,12,0,1,0,2,100,100,100,100,26,100,100,100,100,-1,0,0,0,
average,110430_0S_31G1,1304161425,242.66666666667,0,0,2,176877,157900,5702.3333333333,2746,0,4,1304165009,0,0,1016.3333333333,0,0,257,0,114075.66666667,204745.66666667,0,-1,1793.6666666667,0,0,0,96965,0,78106,-1,533.33333333333,0,0,1016.3333333333,0,82550,1,1.9,510.33333333333,5,10,8,0,2,0,2,100,100,100,100,40,100,100,100,100,-1,0,0,0,
standardDeviation,110430_0S_31G1,1304161425,34,0,0,null,1,1,15,0,0,0,8,0,0,77,0,0,0,0,2003,11638,0,0,42,0,0,0,1,0,0,0,754,0,0,77,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110430_0S_31G1,1304161425,240,0,0,null,176876,157899,5707,2746,0,4,1304165009,0,0,1019,0,0,257,0,111242,202694,0,-1,1830,0,0,0,96964,0,78106,-1,1600,0,0,1019,0,82550,1,"1.9",534,5,10,8,0,2,0,2,100,100,100,100,40,100,100,100,100,-1,0,0,0,
average,110415_G6_2FAN,1302893944,207.33333333333,0,0,3,188701.33333333,169713.33333333,8816,6576,0,6.6666666666667,1302897528.6667,0,0,985.66666666667,0,0,0,0,125123.33333333,218452.33333333,0,-1,1717.6666666667,0,0,0,102017.33333333,2024,83357,-1,566.66666666667,0,0,985.66666666667,0,86389,1,1.9,489.33333333333,12,16,15,0,1,0,2,100,100,100,97,29,100,100,100,100,-1,0,0,0,
standardDeviation,110415_G6_2FAN,1302893944,1,0,0,null,32,5,19,0,0,0,7,0,0,33,0,0,0,0,4828,9286,0,0,57,0,0,0,32,0,0,0,801,0,0,33,0,28,0,0,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
median,110415_G6_2FAN,1302893944,206,0,0,null,188728,169720,8840,6576,0,7,1302897538,0,0,966,0,0,0,0,123271,223315,0,-1,1737,0,0,0,102044,2024,83357,-1,1700,0,0,966,0,86409,1,"1.9",525,12,16,15,0,1,0,3,100,100,100,97,28,100,100,100,100,-1,0,0,0,
average,110329_D5_1WHW,1301440315,233.33333333333,0,0,1,187311,168617.66666667,7859.3333333333,5627,0,7,1301443897.6667,0,0,1152.6666666667,0,0,0,0,121521,183571.33333333,0,-1,1775,0,0,0,94624,0,89681,-1,566.66666666667,0,0,1152.6666666667,0,80554,1,1.9,549,10,14,13,0,1,0,2,100,100,100,100,28.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,110329_D5_1WHW,1301440315,43,0,0,null,32,18,14,0,0,0,8,0,0,23,0,0,0,0,1655,5403,0,0,61,0,0,0,32,0,0,0,801,0,0,23,0,47,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
median,110329_D5_1WHW,1301440315,205,0,0,null,187349,168627,7856,5627,0,7,1301443887,0,0,1156,0,0,0,0,120948,177315,0,-1,1754,0,0,0,94662,0,89681,-1,1700,0,0,1156,0,80599,1,"1.9",486,10,14,13,0,1,0,1,100,100,100,100,25,100,100,100,100,-1,0,0,0,
average,110315_VG_1AXV,1300246710,197.66666666667,0,0,3,166665.66666667,150243.66666667,4786.3333333333,2635.3333333333,0,3.6666666666667,1300246695,0,0,841,0,0,0,0,127317,234619.66666667,0,-1,1506.3333333333,0,0,0,90259,0,75055.333333333,-1,500,0,0,841,0,78333,1,1.9,428.33333333333,4.6666666666667,8.3333333333333,7.3333333333333,0,1,0,2,100,100,100,100,36.666666666667,100,100,100,100,-1,0,0,0,
standardDeviation,110315_VG_1AXV,1300246710,3,0,0,null,8859,5639,336,163,0,0,8,0,0,53,0,0,0,0,5956,13594,0,0,13,0,0,0,5221,0,3491,0,707,0,0,53,0,3215,0,0,63,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
median,110315_VG_1AXV,1300246710,202,0,0,null,172939,154240,5013,2751,0,4,1300246705,0,0,833,0,0,0,0,130816,244437,0,-1,1524,0,0,0,93960,0,77524,-1,1500,0,0,833,0,80617,1,"1.9",517,5,9,8,0,1,0,3,100,100,100,100,38,100,100,100,100,-1,0,0,0,
average,110226_KV_SAC,1298758492,204,0,0,1,163964,150883,4635.6666666667,2932,0,4.3333333333333,1298758477,0,0,952.66666666667,0,0,0,0,116523,202021.33333333,0,-1,1614,0,0,0,90404,0,72301,-1,566.66666666667,0,0,952.66666666667,0,77552,1,1.9,494.33333333333,5.3333333333333,8.3333333333333,7,0,1.3333333333333,0,2,100,100,100,100,43.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,110226_KV_SAC,1298758492,7,0,0,null,206,206,285,267,0,0,7,0,0,42,0,0,0,0,5297,9894,0,0,61,0,0,0,43,0,0,0,801,0,0,42,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110226_KV_SAC,1298758492,211,0,0,null,164256,151175,5039,3310,0,5,1298758468,0,0,957,0,0,0,0,112504,202647,0,-1,1671,0,0,0,90466,0,72301,-1,1700,0,0,957,0,77552,1,"1.9",489,6,9,7,0,2,0,1,100,100,100,100,44,100,100,100,100,-1,0,0,0,
average,110211_M5_1A2H,1297455951,714,0,0,2,299940,299725,7187,6460,0,7.6666666666667,1297455902,0,0,4055.3333333333,0,0,0,0,80729,89726.666666667,0,-1,4440,0,0,0,62335.333333333,0,234388,-1,1400,0,0,4055.3333333333,0,54459,1,1.9,963.66666666667,11.333333333333,12.333333333333,9,0,2.3333333333333,0,2,100,100,100,100,25.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,110211_M5_1A2H,1297455951,35,0,0,null,173,173,292,284,0,0,19,0,0,47,0,0,0,0,4370,1509,0,0,178,0,0,0,12,0,0,0,1979,0,0,47,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110211_M5_1A2H,1297455951,756,0,0,null,300186,299971,7601,6862,0,8,1297455902,0,0,4029,0,0,0,0,86508,91650,0,-1,4226,0,0,0,62352,0,234388,-1,4200,0,0,4029,0,54459,1,"1.9",938,12,13,9,0,3,0,2,100,100,100,100,26,100,100,100,100,-1,0,0,0,
average,110131_8E_RDT,1296600514,264.33333333333,0,0,2,153527.66666667,147367.33333333,7409.3333333333,5957,0,5,1296600496.6667,0,0,1119.3333333333,0,0,0,0,88474.666666667,173431,0,-1,2000.3333333333,0,0,0,78968.666666667,0,72176,-1,633.33333333333,0,0,1119.3333333333,0,68406,1,1.9,736.33333333333,9,11,10,0,1,0,2,100,100,100,100,17.666666666667,100,100,100,100,-1,0,0,0,
standardDeviation,110131_8E_RDT,1296600514,27,0,0,null,57,25,20,0,0,0,10,0,0,47,0,0,0,0,1824,13844,0,0,20,0,0,0,57,0,0,0,895,0,0,47,0,47,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
median,110131_8E_RDT,1296600514,235,0,0,null,153453,147350,7390,5957,0,5,1296600497,0,0,1106,0,0,0,0,87838,169173,0,-1,1982,0,0,0,78894,0,72176,-1,1900,0,0,1106,0,68341,1,"1.9",766,9,11,10,0,1,0,2,100,100,100,100,22,100,100,100,100,-1,0,0,0,
average,110121_MT_6QV,1295669783,202.33333333333,0,0,1,153596.66666667,147366.66666667,7388,5957,0,5,1295669706.3333,0,0,873.33333333333,0,0,0,0,115360.33333333,220047.33333333,0,-1,1540.3333333333,0,0,0,79037.666666667,0,72176,-1,466.66666666667,0,0,873.33333333333,0,68235,1,1.9,430.66666666667,9,11,10,0,1,0,2,100,100,100,100,13,100,100,100,100,-1,0,0,0,
standardDeviation,110121_MT_6QV,1295669783,12,0,0,null,29,29,0,0,0,0,8,0,0,19,0,0,0,0,7920,9556,0,0,84,0,0,0,29,0,0,0,659,0,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,110121_MT_6QV,1295669783,218,0,0,null,153629,147399,7387,5957,0,5,1295669696,0,0,864,0,0,0,0,122804,228171,0,-1,1469,0,0,0,79070,0,72176,-1,1400,0,0,864,0,68235,1,"1.9",406,9,11,10,0,1,0,1,100,100,100,100,13,100,100,100,100,-1,0,0,0,
average,101228_KZ_6C7R,1293575954,291.88888888889,0,0,8,137360.33333333,131166.55555556,5061,3632.8888888889,0,3.4444444444444,1293575904,0,0,852.22222222222,0,0,0,0,111529.77777778,236075.11111111,0,-1,1525.4444444444,0,0,0,75715,0,60350,-1,155.55555555556,0,0,852.22222222222,0,60718,1,1.9,518.77777777778,5.4444444444444,7.4444444444444,6,0,1.4444444444444,0,5,100,100,100,100,29.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,101228_KZ_6C7R,1293575954,101,0,0,null,91,184,340,322,0,0,27,0,0,103,0,0,0,0,4481,21743,0,0,106,0,0,0,92,0,0,0,439,0,0,103,0,0,0,0,115,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
median,101228_KZ_6C7R,1293575954,213,0,0,null,137305,131025,4762,3344,0,3,1293575925,0,0,839,0,0,0,0,110373,209305,0,-1,1457,0,0,0,75813,0,60350,-1,1400,0,0,839,0,60718,1,"1.9",456,5,7,6,0,1,0,7,100,100,100,100,28,100,100,100,100,-1,0,0,0,
average,101130_QBS,1291103414,208.33333333333,0,0,5,148101.55555556,141952.55555556,6755,5320,0,6,1291103364.2222,0,0,866.88888888889,0,0,0,0,122186.55555556,216888.77777778,0,-1,1431,0,0,0,72636.888888889,38748.111111111,73391.666666667,-1,155.55555555556,0,0,866.88888888889,0,56882.777777778,1,1.9,413.77777777778,8,10,9,0,1,0,5,100,100,100,47,23.333333333333,100,100,100,100,-1,0,0,0,
standardDeviation,101130_QBS,1291103414,23,0,0,null,609,577,17,0,0,0,27,0,0,54,0,0,0,0,11184,16693,0,0,109,0,0,0,165,452,546,0,439,0,0,54,0,10,0,0,45,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,
median,101130_QBS,1291103414,200,0,0,null,148284,142107,6751,5320,0,6,1291103364,0,0,859,0,0,0,0,122751,215640,0,-1,1408,0,0,0,72626,38908,73585,-1,1400,0,0,859,0,56876,1,"1.9",367,8,10,9,0,1,0,5,100,100,100,47,25,100,100,100,100,-1,0,0,0,
average,101116_C6Z5,1289912334,243.22222222222,0,0,4,134370.55555556,128288,4700.1111111111,3262.4444444444,0,3.8888888888889,1289912282.3333,0,0,744,0,0,0,0,123959.11111111,257504.33333333,0,-1,1330,0,0,0,70599.444444444,39699,62651.888888889,-1,144.44444444444,0,0,744,0,55933,1,1.9,388.33333333333,4.8888888888889,6.8888888888889,5.5555555555556,0,1.3333333333333,0,5,100,100,100,36,31.111111111111,100,100,100,100,-1,0,0,0,
standardDeviation,101116_C6Z5,1289912334,21,0,0,null,621,640,487,473,0,0,25,0,0,39,0,0,0,0,6377,18532,0,0,49,0,0,0,278,0,164,0,408,0,0,39,0,0,0,0,39,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,
median,101116_C6Z5,1289912334,257,0,0,null,134853,128694,4745,3330,0,4,1289912254,0,0,751,0,0,0,0,124403,260514,0,-1,1341,0,0,0,70912,39699,62799,-1,1300,0,0,751,0,55933,1,"1.9",383,5,7,6,0,1,0,2,100,100,100,36,28,100,100,100,100,-1,0,0,0,
