measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
average,150601_0_4K8,1433154707,937.66666666667,0,0,2,365359.33333333,331544,9629.6666666667,7854,0,8,1433154686,3526.0416666667,99.666666666667,3465.3333333333,0,0,283,0,105221.33333333,134207.66666667,0,-1,4506,5593.75,85,0,316510.33333333,0,46843,-1,3972.3333333333,0,0,3465.3333333333,0,265287.33333333,1,1.12,1845.3333333333,12.333333333333,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,1,48.333333333333,1842,
standardDeviation,150601_0_4K8,1433154707,232,0,0,null,93,23660,21,391,0,0,10,604,0,579,0,0,0,0,16871,22977,0,0,834,729,7,0,93,0,0,0,782,0,0,579,0,20,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,850,
median,150601_0_4K8,1433154707,902,0,0,null,365378,314771,9615,7573,0,8,1433154686,3187.5,100,3148,0,0,283,0,107495,140147,0,-1,4301,6125,96,0,316529,0,46843,-1,3607,0,0,3148,0,265316,1,"1.12",1415,12,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,1,47,1596,
average,150501_0_4GW,1430497772,985.33333333333,0,0,1,365286,272266.33333333,9592.3333333333,5181,0,8,1430497748.6667,2656.25,100,2575.3333333333,0,0,283,0,79954.666666667,172985,0,-1,5589.3333333333,6416.6666666667,83.333333333333,0,316373.66666667,0,46843,-1,5044,0,0,2575.3333333333,0,264839.33333333,1,1.12,1747.3333333333,9,14.333333333333,12,0,1.3333333333333,0,2,66,100,100,100,28.666666666667,100,100,100,100,-1,6,53.333333333333,2052,
standardDeviation,150501_0_4GW,1430497772,223,0,0,null,104,9,373,0,0,0,10,321,0,351,0,0,0,0,6830,17022,0,0,590,487,4,0,21,0,0,0,749,0,0,351,0,14,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,380,
median,150501_0_4GW,1430497772,1014,0,0,null,365188,272253,9335,5181,0,9,1430497736,2468.75,100,2439,0,0,283,0,86640,191054,0,-1,5229,5765.625,79,0,316353,0,46843,-1,4337,0,0,2439,0,264832,1,"1.12",1576,9,14,12,0,1,0,1,66,100,100,100,28,100,100,100,100,-1,6,54,1676,
average,150401_0_4F7,1427884173,954,0,0,1,362961.66666667,278725,9382,6469.6666666667,0,8.3333333333333,1427884150.3333,3348.9583333333,100,3158.3333333333,0,0,282,0,100988.66666667,129358.66666667,0,-1,4652.6666666667,6041.6666666667,87.666666666667,0,314112.33333333,0,46843,-1,4254.6666666667,0,0,3158.3333333333,0,274675,1,1.12,1621.6666666667,10.666666666667,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,28.666666666667,1989.3333333333,
standardDeviation,150401_0_4F7,1427884173,414,0,0,null,90,47971,29,1260,0,0,9,590,0,747,0,0,0,0,17864,19487,0,0,388,215,7,0,91,0,0,0,322,0,0,747,0,68,0,0,492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,
median,150401_0_4F7,1427884173,1473,0,0,null,362931,312569,9379,7361,0,8,1427884138,3546.875,100,3497,0,0,282,0,125930,154431,0,-1,4355,6343.75,98,0,314082,0,46843,-1,3809,0,0,3497,0,274579,1,"1.12",2100,12,14,12,0,1,0,1,66,100,100,100,28,100,100,100,100,-1,5,28,2139,
average,150323_0_4DR,1427083366,801.33333333333,0,0,3,453595.33333333,419948.66666667,10030.333333333,8375.6666666667,0,8,1427083340,4041.6666666667,100,2962.6666666667,0,0,291,0,143474.33333333,197615.66666667,0,-1,4021.3333333333,6791.6666666667,95.333333333333,0,314631.33333333,71618,136588,-1,3675.3333333333,0,0,2962.6666666667,0,274313.33333333,1,1.12,1554,13.333333333333,15,13,0,1,0,2,76,100,100,47,26,100,100,100,100,0,5,28.666666666667,1585,
standardDeviation,150323_0_4DR,1427083366,219,0,0,null,112,23632,16,377,0,0,10,583,0,499,0,0,0,0,18976,21060,0,0,594,494,6,0,112,0,0,0,658,0,0,499,0,85,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,
median,150323_0_4DR,1427083366,1022,0,0,null,453729,403376,10015,8109,0,9,1427083353,3234.375,100,3064,0,0,291,0,146269,197539,0,-1,4124,6359.375,100,0,314765,71618,136588,-1,4094,0,0,3064,0,274193,1,"1.12",1844,13,15,13,0,1,0,3,76,100,100,47,26,100,100,100,100,0,5,28,1868,
average,150301_0_4CT,1425205494,767.66666666667,0,0,2,362138.33333333,328865.33333333,9423.6666666667,7753.6666666667,0,8.3333333333333,1425205475.6667,2776.0416666667,100,2541,0,0,282,0,139171.33333333,189078.66666667,0,-1,3418.3333333333,4541.6666666667,79.333333333333,0,313282.33333333,0,46843,-1,3044.3333333333,0,0,2541,0,274157,1,1.12,1204.3333333333,12.333333333333,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,28,1235.3333333333,
standardDeviation,150301_0_4CT,1425205494,294,0,0,null,195,23314,11,377,0,0,8,378,0,253,0,0,0,0,18283,20637,0,0,275,713,7,0,195,0,0,0,327,0,0,253,0,78,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,
median,150301_0_4CT,1425205494,1184,0,0,null,361940,312148,9437,7487,0,8,1425205476,3171.875,100,2644,0,0,282,0,158537,213800,0,-1,3467,4890.625,81,0,313084,0,46843,-1,3224,0,0,2644,0,274137,1,"1.12",1728,12,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,29,1742,
average,150215_0_4CS,1423996196,990.5,0,0,2,360574.5,318880.5,9788.5,7200,0,7,1423996180,3476.5625,100,3316.5,0,0,275,0,100847.5,136909.5,0,-1,4632,6468.75,95,0,311601,0,46843,-1,3657,0,0,3316.5,0,273286.5,1,1.12,1502.5,11.5,14.5,12,0,1.5,0,2.5,66,100,100,100,29,100,100,100,100,-1,5,29.5,1705,
standardDeviation,150215_0_4CS,1423996196,32,0,0,null,190,24851,370,400,0,0,6,39,0,154,0,0,0,0,13559,3503,0,0,524,15,5,0,73,0,0,0,46,0,0,154,0,8,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51,
median,150215_0_4CS,1423996196,958,0,0,null,360384,294029,9418,6800,0,7,1423996186,3437.5,100,3162,0,0,275,0,114407,133406,0,-1,4108,6453.125,100,0,311528,0,46843,-1,3611,0,0,3162,0,273295,1,"1.12",1459,11,14,12,0,1,0,3,66,100,100,100,28,100,100,100,100,-1,5,31,1756,
average,150201_0_4C8,1422786303,772,0,0,3,430458.66666667,413582.33333333,12483,10416.666666667,0,8.3333333333333,1422786277.6667,3260.4166666667,100,3086.6666666667,0,0,292,0,128535.66666667,182075.33333333,0,-1,4197.3333333333,4718.75,74.666666666667,0,323980.33333333,0,103299,-1,6222,0,0,3086.6666666667,0,285567.66666667,1,1.12,1337,16,18.333333333333,16,0,1.3333333333333,0,2,81,100,100,100,22.333333333333,100,100,100,100,-1,5,28.666666666667,1451,
